"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.895763409E0,2.494457722E0,-9.993743896E-1,2.522623539E0
1.900768292E0,1.157485247E0,1.373138428E-1,3.010680914E0
1.905773175E0,8.873244524E-1,1.750993729E-1,2.720751286E0
1.910808575E0,1.542849064E0,-4.084205627E-2,2.069534540E0
1.915813458E0,2.456035614E0,4.156684875E-2,9.865777493E-1
1.920818341E0,1.831723213E0,5.578851700E-1,4.553797841E-2
1.925823224E0,2.577967644E-1,8.420095444E-1,-5.715851784E-1
1.930828107E0,7.855892181E-3,7.638998032E-1,-4.302678704E-1
1.935863507E0,2.832803726E-1,9.624061584E-1,-1.431980431E-1
1.940868390E0,5.259370804E-1,1.292797089E0,9.723615646E-2
1.945873273E0,7.814579010E-1,1.288256645E0,6.667712331E-2
1.950878155E0,1.461542368E0,9.581041336E-1,-3.163532615E-1
1.955883038E0,2.108252048E0,9.108295441E-1,-8.962821960E-1
1.960918439E0,2.351373672E0,1.004848480E0,-1.502488375E0
1.965923321E0,2.588261127E0,7.609348297E-1,-1.949091196E0
1.970928204E0,2.600730896E0,9.001731873E-2,-2.032880068E0
1.975933087E0,1.800429344E0,-3.529491425E-1,-1.787209511E0
1.980937970E0,9.311544895E-1,-7.059345245E-1,-1.377495646E0
1.985942853E0,1.867091656E-1,-8.722200394E-1,-9.196624756E-1
1.990978253E0,-3.317964077E-1,-9.606561661E-1,-3.010399640E-1
